name
Northwestern Mutual Future Ventures
Indio VC
Impression Ventures
nfinitiv
RTP Ventures
Frontier Ventures
Yamaha Motor Ventures
Jackson Square Ventures
Fort Ross Ventures
Xecced Ventures
Surplus Invest
Closed Loop Ventures
Global Millenial Capital
Cataliize
Omega Venture Partners
Okta Ventures
MARL Accelerator
Barclay Street Ventures
Company Ventures
Clearstone
ACME Capital
SignalFire
The LegalTech Fund
Blockchain Founders Fund
Starting Line
Sterling Road
Stat Zero Ventures
Engineering Capital
Liberty Mutual Strategic Ventures
PropTech Angel Group
KB Partners
Delphi VC
SOSV
OpenView
Full In Partners
Impact America Fund
Reflexion Capital
Mindset Ventures
Threshold Ventures
Monozukuri Venture
Tech Council Ventures
Converge
Hive Hatch
